MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:57:11


[COMMENT]
10_G_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
5,00	-3,00	0,00	10,00	2,00	-5,00	-4,00	12,00	16,00	-2,00	2,00	-36,00	13,00	-6886,00	10,00	4,00
6,00	-1,00	0,00	-1,00	2,00	-2,00	-11,00	8,00	19,00	-8,00	2,00	-21,00	16,00	-6898,00	-2,00	29,00
2,00	-7,00	7,00	-5,00	2,00	-3,00	0,00	0,00	24,00	-12,00	1,00	3,00	7,00	-6910,00	-19,00	37,00
-2,00	-10,00	-1,00	-7,00	0,00	-6,00	-6,00	12,00	23,00	-13,00	-1,00	12,00	-3,00	-6920,00	-19,00	26,00
0,00	-4,00	5,00	-7,00	2,00	-2,00	-9,00	23,00	27,00	-9,00	-5,00	6,00	-8,00	-6932,00	-14,00	6,00
-3,00	-3,00	9,00	1,00	1,00	0,00	-5,00	36,00	19,00	-3,00	0,00	0,00	-8,00	-6944,00	-15,00	-18,00
-11,00	0,00	6,00	13,00	3,00	0,00	-9,00	1,00	18,00	-3,00	0,00	2,00	-7,00	-6957,00	-12,00	-22,00
-9,00	5,00	3,00	25,00	3,00	-2,00	-15,00	8,00	20,00	-8,00	-2,00	11,00	-3,00	-6968,00	-10,00	13,00
-8,00	0,00	7,00	22,00	3,00	-3,00	-8,00	18,00	19,00	-15,00	-4,00	12,00	-2,00	-6976,00	-10,00	61,00
-3,00	2,00	-4,00	12,00	4,00	-6,00	0,00	-12,00	14,00	-15,00	0,00	2,00	0,00	-6988,00	-11,00	60,00
1,00	-2,00	-5,00	7,00	0,00	-4,00	-9,00	-17,00	17,00	-15,00	1,00	1,00	0,00	-7001,00	-10,00	26,00
2,00	-3,00	0,00	5,00	7,00	-4,00	-11,00	-12,00	20,00	-1,00	0,00	7,00	4,00	-7012,00	-9,00	-4,00
5,00	-2,00	0,00	16,00	2,00	-2,00	-4,00	-22,00	17,00	0,00	-2,00	17,00	3,00	-7024,00	-10,00	-18,00
0,00	-2,00	5,00	25,00	0,00	-4,00	-2,00	-20,00	17,00	-9,00	-8,00	23,00	-2,00	-7037,00	-14,00	-9,00
-1,00	0,00	6,00	16,00	3,00	-4,00	-3,00	-7,00	14,00	-8,00	-14,00	16,00	2,00	-7048,00	-11,00	0,00
-3,00	4,00	9,00	12,00	2,00	-6,00	0,00	-13,00	19,00	-7,00	-13,00	4,00	2,00	-7062,00	-14,00	4,00
-4,00	5,00	6,00	14,00	-1,00	-6,00	2,00	-39,00	24,00	-1,00	-5,00	2,00	0,00	-7072,00	-21,00	2,00
-4,00	0,00	11,00	10,00	1,00	-4,00	3,00	-23,00	21,00	4,00	0,00	4,00	0,00	-7083,00	-17,00	2,00
-8,00	-2,00	10,00	10,00	4,00	-1,00	4,00	23,00	16,00	6,00	2,00	12,00	2,00	-7093,00	-13,00	-1,00
-3,00	-10,00	12,00	11,00	4,00	-2,00	-4,00	-6,00	15,00	11,00	-1,00	15,00	10,00	-7105,00	-12,00	10,00
-4,00	-14,00	0,00	9,00	3,00	-1,00	-18,00	-13,00	14,00	10,00	-4,00	16,00	22,00	-7114,00	-9,00	22,00
-6,00	-13,00	-1,00	7,00	3,00	-1,00	-13,00	-12,00	15,00	9,00	-8,00	12,00	24,00	-7126,00	-9,00	23,00
2,00	-12,00	5,00	-1,00	2,00	-6,00	0,00	-18,00	14,00	9,00	-14,00	14,00	17,00	-7138,00	-8,00	14,00
