MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:56:38


[COMMENT]
10C(alternativa_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
0,00	5,00	15,00	-16,00	-2,00	-10,00	-4,00	-13,00	4,00	-3,00	38,00	93,00	4,00	-4793,00	-3,00	4,00
-4,00	7,00	-9,00	-32,00	-1,00	-8,00	-3,00	-14,00	5,00	2,00	25,00	144,00	4,00	-4806,00	-6,00	4,00
0,00	7,00	-16,00	-16,00	0,00	-6,00	-4,00	-14,00	0,00	3,00	-10,00	129,00	4,00	-4813,00	-8,00	0,00
3,00	1,00	0,00	-10,00	0,00	6,00	0,00	-3,00	1,00	-11,00	-25,00	74,00	4,00	-4822,00	-6,00	4,00
-2,00	-3,00	-9,00	-8,00	2,00	8,00	0,00	-4,00	2,00	-8,00	-23,00	33,00	3,00	-4834,00	-3,00	8,00
-4,00	-2,00	-15,00	-2,00	-3,00	17,00	-4,00	-7,00	-3,00	2,00	-7,00	26,00	3,00	-4844,00	-4,00	8,00
0,00	2,00	-9,00	40,00	-1,00	9,00	-1,00	17,00	-3,00	-3,00	60,00	3,00	4,00	-4853,00	-4,00	8,00
-4,00	0,00	22,00	14,00	3,00	11,00	-1,00	21,00	0,00	-6,00	127,00	-23,00	3,00	-4861,00	-5,00	13,00
-4,00	-4,00	18,00	-25,00	-1,00	0,00	0,00	-2,00	-2,00	-2,00	95,00	-28,00	1,00	-4874,00	-8,00	16,00
0,00	-4,00	34,00	-59,00	-2,00	0,00	-3,00	18,00	0,00	-1,00	16,00	-63,00	0,00	-4883,00	-6,00	16,00
-6,00	-1,00	46,00	-77,00	-1,00	-3,00	-3,00	-16,00	0,00	-2,00	-55,00	-76,00	3,00	-4894,00	-4,00	9,00
-6,00	0,00	-23,00	-83,00	-1,00	14,00	-4,00	-18,00	-2,00	-1,00	-111,00	-42,00	5,00	-4903,00	-8,00	4,00
-2,00	-1,00	-16,00	1,00	-1,00	-3,00	-4,00	-4,00	2,00	7,00	-101,00	-38,00	1,00	-4914,00	-3,00	-6,00
