MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:53:07


[COMMENT]
10L(alternativas_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-6,00	0,00	21,00	12,00	2,00	-2,00	-3,00	-5,00	0,00	4,00	-13,00	-41,00	5,00	-7111,00	-11,00	2,00
-10,00	-3,00	3,00	-39,00	-2,00	-3,00	0,00	-14,00	-2,00	-8,00	-28,00	10,00	3,00	-7099,00	-7,00	5,00
-4,00	-2,00	-4,00	-39,00	-2,00	-2,00	-2,00	-15,00	-2,00	0,00	-2,00	20,00	6,00	-7088,00	-2,00	5,00
-4,00	-2,00	-16,00	-16,00	-1,00	0,00	-3,00	-23,00	2,00	3,00	51,00	23,00	3,00	-7076,00	-6,00	3,00
-4,00	-5,00	-18,00	-3,00	-3,00	-2,00	-4,00	-44,00	-1,00	-3,00	48,00	32,00	0,00	-7067,00	-8,00	5,00
-1,00	-5,00	-27,00	-2,00	1,00	-6,00	-3,00	-58,00	0,00	4,00	-15,00	-3,00	2,00	-7054,00	-8,00	9,00
-5,00	-7,00	-10,00	-10,00	1,00	-2,00	-1,00	-48,00	-2,00	2,00	-43,00	-45,00	2,00	-7044,00	-13,00	6,00
-6,00	-4,00	14,00	-8,00	6,00	0,00	-3,00	-17,00	-2,00	0,00	-8,00	-30,00	4,00	-7032,00	-8,00	3,00
-4,00	-7,00	27,00	3,00	4,00	0,00	-6,00	2,00	-3,00	4,00	10,00	9,00	2,00	-7019,00	-7,00	5,00
-4,00	0,00	11,00	3,00	-3,00	-4,00	-3,00	20,00	-3,00	-8,00	3,00	15,00	-2,00	-7007,00	-5,00	2,00
0,00	-1,00	0,00	12,00	-3,00	-6,00	-2,00	46,00	4,00	6,00	3,00	-13,00	0,00	-6996,00	-6,00	4,00
0,00	4,00	-6,00	9,00	-2,00	-3,00	-2,00	51,00	4,00	5,00	0,00	-3,00	3,00	-6984,00	-6,00	2,00
-1,00	2,00	5,00	0,00	-2,00	2,00	-4,00	33,00	-1,00	-14,00	5,00	20,00	2,00	-6972,00	-8,00	3,00
-4,00	0,00	2,00	0,00	-4,00	-1,00	-3,00	20,00	-2,00	-11,00	6,00	32,00	6,00	-6963,00	-8,00	4,00
-12,00	0,00	0,00	11,00	-2,00	-1,00	-8,00	5,00	-1,00	-9,00	-2,00	30,00	5,00	-6952,00	-5,00	11,00
-8,00	-7,00	0,00	17,00	2,00	-2,00	-2,00	-1,00	-2,00	-11,00	0,00	13,00	2,00	-6938,00	-4,00	11,00
-6,00	-2,00	-6,00	31,00	-1,00	-7,00	0,00	2,00	0,00	-6,00	1,00	4,00	5,00	-6927,00	-4,00	6,00
-1,00	-1,00	-6,00	32,00	2,00	-3,00	-1,00	-8,00	-2,00	-1,00	2,00	5,00	3,00	-6916,00	-5,00	6,00
-4,00	2,00	3,00	34,00	-2,00	-4,00	-2,00	-11,00	0,00	9,00	-2,00	1,00	0,00	-6905,00	-4,00	2,00
-7,00	4,00	3,00	3,00	5,00	-8,00	-3,00	-1,00	-4,00	13,00	0,00	-10,00	2,00	-6892,00	-4,00	2,00
-7,00	0,00	2,00	-37,00	3,00	-8,00	-3,00	-4,00	-2,00	2,00	0,00	-13,00	2,00	-6880,00	-7,00	3,00
-1,00	0,00	-1,00	-24,00	-1,00	-3,00	-6,00	-21,00	1,00	2,00	-4,00	-19,00	0,00	-6868,00	-14,00	6,00
0,00	2,00	-16,00	7,00	1,00	-3,00	-2,00	-30,00	2,00	-2,00	4,00	-27,00	0,00	-6857,00	-14,00	6,00
-4,00	0,00	-2,00	8,00	0,00	-2,00	-2,00	-16,00	3,00	-6,00	4,00	-8,00	2,00	-6844,00	-8,00	6,00
-6,00	-1,00	16,00	6,00	4,00	-6,00	-1,00	10,00	2,00	-11,00	-8,00	13,00	6,00	-6833,00	-5,00	3,00
-6,00	-1,00	29,00	3,00	2,00	0,00	0,00	31,00	1,00	-1,00	-10,00	-4,00	4,00	-6820,00	-6,00	4,00
-4,00	-7,00	7,00	9,00	4,00	-1,00	0,00	20,00	0,00	3,00	-15,00	-1,00	3,00	-6808,00	-9,00	3,00
2,00	-6,00	6,00	-3,00	0,00	-2,00	-2,00	7,00	-2,00	-8,00	4,00	11,00	0,00	-6797,00	-8,00	2,00
-2,00	-10,00	8,00	-3,00	2,00	6,00	-2,00	5,00	0,00	-9,00	19,00	-13,00	0,00	-6782,00	-8,00	4,00
0,00	-8,00	7,00	9,00	-2,00	4,00	0,00	-19,00	4,00	-4,00	-2,00	0,00	3,00	-6772,00	-6,00	4,00
-1,00	-3,00	-17,00	13,00	-2,00	-1,00	0,00	-17,00	1,00	-1,00	-14,00	39,00	4,00	-6761,00	-4,00	2,00
-4,00	-3,00	-9,00	13,00	1,00	-7,00	0,00	4,00	0,00	3,00	-8,00	21,00	2,00	-6750,00	-5,00	3,00
-1,00	-2,00	-8,00	12,00	0,00	-7,00	-9,00	18,00	2,00	-1,00	0,00	-23,00	5,00	-6738,00	-5,00	7,00
0,00	-1,00	5,00	5,00	-3,00	6,00	-12,00	-1,00	0,00	0,00	3,00	-15,00	0,00	-6725,00	-3,00	6,00
3,00	4,00	3,00	6,00	-2,00	0,00	-3,00	22,00	-1,00	-6,00	11,00	4,00	-1,00	-6711,00	-4,00	6,00
-4,00	0,00	-3,00	14,00	2,00	-2,00	-1,00	0,00	0,00	0,00	9,00	6,00	3,00	-6701,00	-5,00	10,00
-1,00	2,00	-1,00	11,00	2,00	-3,00	0,00	-24,00	-3,00	6,00	-8,00	7,00	3,00	-6686,00	-10,00	11,00
3,00	2,00	10,00	11,00	0,00	-3,00	-4,00	-35,00	-4,00	-1,00	-18,00	4,00	1,00	-6672,00	-9,00	8,00
13,00	-3,00	4,00	0,00	-1,00	3,00	0,00	-33,00	0,00	-2,00	-16,00	-9,00	6,00	-6660,00	-9,00	7,00
-11,00	0,00	-1,00	-3,00	-2,00	-2,00	1,00	-29,00	0,00	2,00	-6,00	-7,00	5,00	-6651,00	-10,00	2,00
8,00	-1,00	-13,00	12,00	-4,00	-1,00	2,00	-5,00	-2,00	5,00	4,00	5,00	5,00	-6638,00	-11,00	3,00
-8,00	-8,00	-13,00	19,00	0,00	-7,00	-2,00	5,00	-2,00	2,00	4,00	9,00	4,00	-6627,00	-7,00	4,00
-5,00	-1,00	-1,00	6,00	0,00	2,00	-6,00	3,00	-2,00	-3,00	-4,00	7,00	5,00	-6613,00	-4,00	-2,00
6,00	-3,00	-13,00	-6,00	-1,00	-2,00	-1,00	-12,00	-2,00	-4,00	-11,00	-1,00	5,00	-6599,00	-5,00	-3,00
-12,00	-2,00	-16,00	-14,00	9,00	-5,00	-3,00	1,00	2,00	0,00	-6,00	-4,00	0,00	-6586,00	-4,00	-1,00
11,00	2,00	-2,00	-4,00	18,00	-2,00	0,00	-1,00	3,00	0,00	-1,00	-2,00	2,00	-6574,00	-5,00	5,00
-8,00	-5,00	13,00	-2,00	0,00	0,00	-6,00	-5,00	0,00	-2,00	0,00	-6,00	5,00	-6563,00	-6,00	11,00
-13,00	-5,00	22,00	2,00	10,00	-4,00	-6,00	18,00	1,00	-2,00	1,00	-1,00	3,00	-6549,00	-6,00	10,00
-7,00	-3,00	31,00	-1,00	17,00	-5,00	-2,00	31,00	2,00	2,00	4,00	0,00	-1,00	-6538,00	-8,00	9,00
7,00	-4,00	14,00	12,00	-10,00	3,00	6,00	4,00	4,00	4,00	4,00	0,00	1,00	-6526,00	-7,00	4,00
-10,00	-4,00	10,00	11,00	-6,00	2,00	7,00	-14,00	-1,00	-4,00	-4,00	-8,00	3,00	-6513,00	-3,00	4,00
-14,00	-1,00	6,00	16,00	10,00	-4,00	5,00	-21,00	-1,00	-5,00	-3,00	-21,00	1,00	-6498,00	-3,00	7,00
-8,00	6,00	10,00	15,00	-1,00	-4,00	0,00	-29,00	-2,00	-10,00	13,00	-4,00	2,00	-6486,00	-3,00	9,00
-15,00	4,00	-24,00	5,00	-4,00	-1,00	0,00	-34,00	-3,00	-2,00	20,00	27,00	4,00	-6474,00	-6,00	6,00
-4,00	0,00	-31,00	-6,00	-5,00	-2,00	-3,00	-30,00	2,00	-4,00	13,00	11,00	2,00	-6463,00	-7,00	3,00
-6,00	0,00	3,00	22,00	24,00	-2,00	-6,00	-20,00	0,00	-5,00	11,00	-4,00	2,00	-6449,00	-3,00	5,00
-4,00	-3,00	2,00	40,00	0,00	-4,00	-3,00	-16,00	2,00	-1,00	4,00	4,00	5,00	-6437,00	-3,00	4,00
-13,00	4,00	-16,00	25,00	-3,00	-9,00	-4,00	10,00	0,00	7,00	-13,00	-1,00	5,00	-6422,00	-8,00	5,00
-2,00	0,00	-21,00	58,00	-10,00	-6,00	-10,00	43,00	-3,00	0,00	-33,00	7,00	3,00	-6409,00	-5,00	5,00
-10,00	-2,00	-8,00	73,00	17,00	0,00	-13,00	11,00	-6,00	-1,00	-23,00	28,00	4,00	-6398,00	-8,00	3,00
-4,00	-3,00	5,00	47,00	-11,00	-2,00	-5,00	13,00	2,00	-4,00	-13,00	22,00	3,00	-6385,00	-15,00	2,00
0,00	-1,00	5,00	33,00	-4,00	-2,00	0,00	-4,00	2,00	-3,00	-6,00	-4,00	5,00	-6374,00	-16,00	3,00
0,00	-3,00	5,00	40,00	7,00	-2,00	-2,00	-17,00	2,00	-8,00	14,00	-13,00	4,00	-6363,00	-12,00	2,00
-4,00	-9,00	-5,00	52,00	14,00	-3,00	0,00	-21,00	2,00	-9,00	37,00	-10,00	1,00	-6346,00	-11,00	1,00
-1,00	-12,00	-5,00	39,00	-9,00	-4,00	-2,00	-1,00	-1,00	-6,00	47,00	-13,00	3,00	-6334,00	-6,00	0,00
